UniqueSystemIdentifier|Account|ChargeProfile|DateIdentityRegistered|DateRiskRatingwasLastUpdated|IdentityStatus|IdentityType|OrganizationName|OrganizationRiskRating|OrganizationUniqueReferenceDetails|ParentUniqueReferenceIdentifier|ParentName|Products|Segment|TrustLevel|Contacts|AddressLine1|AddressLine2|AddressLine3|TownCity|PostCode|CompanyUniqueIdentifier|RuleProfile
201000000000010002|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210707092442||Active|Organization|20210617002||20210617002|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000011002|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709063934||Active|Organization|SuperMarket||0511|200000000000010001||Merchant Product||Top Organization Level 3||||||||30072
201000000000011012|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210712023829||Active|Organization|ora0503||0503|200000000000010001||Merchant Product||Top Organization Level 3||||||||30072
201000000000012001|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Settlement Account~AOA~Active|Child Organization Default Charge Profile|20210714025643||Active|Organization|05012||05012|201000000000010006|org0501|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000015008||Top Organization Default Charge Profile|20210803111224||New|Organization|OrgIndira||2120|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000016002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210812003853||Active|Organization|Orgp||2197|201000000000015021||||Child Organization Level 3|Owner~~~~~~||||Luanda|||30073
201000000000018003|Organization E-Money Account~AOA~New|Top Organization Default Charge Profile|20210817113946||New|Organization|6110000||6110000|200000000000010001||||Top Organization Level 3||||||||30072
201000000000020002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902142806||Active|Organization|TopOrgAndrea||4010|200000000000010001||Centrally Owned Agency - Head Office,Merchant Product||Top Organization Level 3||||||||30072
201000000000020007|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210902145250||Active|Organization|ChildOrgArcanjo||2210|201000000000020006|TopOrgArcanjo|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000021002|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210907100332||Active|Organization|000112||000112|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000024007|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211011173613||Active|Organization|CHILD113T||CTC2021113|201000000000024006|TTOP113|Aggregator Agency - Child||Child Organization Level 3||||||||30073
700100000000000003|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210618175532||Active|Organization|orgTop1000003||61000003|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000011005|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709084815||Active|Organization|SuperAgent||0512|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000011011|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709124109||Active|Organization|testtop2||112237|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000013002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20210715105957||Active|Organization|ora060112||0602|201000000000013001|org0601|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000015034|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210806163959||Active|Organization|orgjoaog|||200000000000010001||||Top Organization Level 3||||||||30072
201000000000016004|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Organization Working Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210812095517||Active|Organization|OrgPaulo||2725|200000000000010001||Aggregator Agency - Head Office,ATM Provider Product,Centrally Owned Agency - Head Office,Merchant Product,MNO Product,Utility Product||Top Organization Level 3|||||Luanda|||30072
201000000000020006|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902144713||Active|Organization|TopOrgArcanjo||2200|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000020012|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210902155528||Active|Organization|Larissa||0202|201000000000020011|Isabel|Centrally Owned Agency - Child||Child Organization Level 3||Rua 2 casa141|||Huambo|||30073
201000000000021003|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Organization Working Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210910183545||Active|Organization|OrgtopPaulo||2826|200000000000010001||Aggregator Agency - Head Office,Centrally Owned Agency - Head Office,Merchant Product,MNO Product,Utility Product||Top Organization Level 3|||||Luanda|||30072
201000000000024002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211011170330||Active|Organization|CHILD113||0001131|201000000000024001|TOP113|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000024015|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211015144559||Active|Organization|CPAUC_Org||CPAU2021619|201000000000024014|PAUC_Org|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
700100000000000001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210618175532||Active|Organization|orgTop1000001||61000001|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000010001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210707092442||Active|Organization|20210617005||20210617005|200000000000010001||Aggregator Agency - Head Office,ATM Provider Product,Centrally Owned Agency - Head Office,Merchant Product,MNO Product,Utility Product||Top Organization Level 3||testaddress3|testaddress2|testaddress3|testcity|||30072
201000000000010006|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Organization Working Account~AOA~Active,Settlement Account~AOA~Active|Organization Charge Profile Yif|20210708105543||Active|Organization|org0501||0501|200000000000010001||Aggregator Agency - Head Office,MNO Product,TopOrg Buy Goods Product yf,TopOrg Buy Goods Refund Product yf,TopOrg Buy Goods Product yif,TopOrg Buy Goods Product Ortiz,TopOrg Buy Goods Product Hilton00,TopOrg Buy Goods Refund Product UAT,Top Aggregator Deposit ProductYif,Top Aggregator Deposit Product HILTON2,Top Aggregator Deposit Product Ortiz,Organizaton Product Yif,Customer Withdrawal with Voucher for Organization Yif,Customer Withdrawal with Voucher for Organization Hilton||Top Organization Level 3||||||||30072
201000000000011008|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709090613||Active|Organization|KwatelMNO1||0509|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000011017|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Organization Working Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210712142039||Active|Organization|20210712||20210712|200000000000010001||Aggregator Agency - Head Office,ATM Provider Product,Centrally Owned Agency - Head Office,Merchant Product,MNO Product,Utility Product||Top Organization Level 3||||||||30072
201000000000014003|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20210720080949||Active|Organization|orgRachelAgent||100010|201000000000011016|RachelAgent|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000015044|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210811110035||Active|Organization|childindira||21201|201000000000015008|OrgIndira|||Child Organization Level 3||||||||30073
201000000000018002|Organization E-Money Account~AOA~New|Top Organization Default Charge Profile|20210817113812||New|Organization|1248||2021080878|200000000000010001||||Top Organization Level 3||||||||30072
201000000000019009|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210830161514||Active|Organization|Bernardo_Teste2||2222|201000000000019008|Bernardo_Teste|Centrally Owned Agency - Child||Child Organization Level 3|Director~~~~~~|Vila chinesa|||Luanda|||30073
201000000000020005|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210902144625||Active|Organization|HiltonFilial||0002|201000000000020003|HiltonOrg|Centrally Owned Agency - Child||Child Organization Level 3||Viana|||Luanda|||30073
201000000000020016|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210903151258||Active|Organization|carlita||3030|201000000000020015|Heloisa|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000024005|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211011170645||Active|Organization|CHILD114||0001141|201000000000024004|TOPOWNED114|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
700100000000000000|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210618175532||Active|Organization|orgTop1000000||61000000|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000011003|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709074911||Active|Organization|shivaTestTopOrg||112233|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3|||||Bengaluru|||30072
201000000000011010|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709122239||Active|Organization|testorgtop||112236|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000012002|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Organization Working Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210714074326||Active|Organization|0505||0505|200000000000010001||Aggregator Agency - Head Office,MNO Product||Top Organization Level 3||||||||30072
201000000000015031|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210805105500||Active|Organization|OrgCyna|||200000000000010001||||Top Organization Level 3||||||||30072
201000000000015043|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210811105942||Active|Organization|ChildJocyna||2311|201000000000015026|OrgICGB|||Child Organization Level 3||||||||30073
201000000000019008|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210830160856||Active|Organization|Bernardo_Teste||7777|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3|Owner~~~~~~|Bairro Huambo|||Luanda|||30072
201000000000020011|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902154247||Active|Organization|Isabel||0101|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3|Director~~~~~~|Rua 2 casa141|||Benguela|||30072
201000000000021001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210904151208||Active|Organization|sameTop||0909|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000024001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20211011165845||Active|Organization|TOP113||000113|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000024014|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20211015130840||Active|Organization|PAUC_Org||TPAU2021619|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000025003|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Working Account~AOA~Active|Top Organization Default Charge Profile|20211118092459||Active|Organization|rachelMNO||MNO2021110|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000010005|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Top Organization Default Charge Profile|20210708023947||Active|Organization|20210708||20210708|200000000000010001||Aggregator Agency - Head Office,ATM Provider Product,Centrally Owned Agency - Head Office,Merchant Product,MNO Product,Utility Product||Top Organization Level 3||||||||30072
201000000000011007|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709090038||Active|Organization|KwatelMNO||111222|200000000000010001||MNO Product,MNO Product rachel,MNO Product zhang,MNO Product HILTON||Top Organization Level 3||||||||30072
201000000000011014|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210712112956||Active|Organization|shivaExternalValidation||244990000013|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000014001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210719155843||Active|Organization|Aggregator1||000001|200000000000010001||Aggregator Agency - Head Office,Merchant Product||Top Organization Level 3||||||||30072
201000000000015026||Top Organization Default Charge Profile|20210804102746||New|Organization|OrgICGB||2122|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000017004|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210813131438||Active|Organization|OrgEden||2195|200000000000010001||||Top Organization Level 3||||||||30072
201000000000019007|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210830155837||Active|Organization|Teste_Ricardo2||4334|201000000000019005|Teste_Ricardo|Centrally Owned Agency - Child||Child Organization Level 3|Director~~~~~~|Condominio Mangueira Talatona|||Luanda|||30073
201000000000020004|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902144011||Active|Organization|Stuartorg||2345|200000000000010001||Centrally Owned Agency - Head Office,TopOrg Buy Goods Product UAT,Top Aggregator Deposit Product UAT,Customer Withdrawal with Voucher for Organization UAT,Customer Withdrawal with Voucher UAT1,Organization Pay Bill Product UAT,MNO Product UAT||Top Organization Level 3||||||||30072
201000000000020013|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210903113048||Active|Organization|Londonorg||3245|201000000000020004|Stuartorg|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000024004|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20211011170549||Active|Organization|TOPOWNED114||000114|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000025002|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Top Organization Default Charge Profile|20211116034817||Active|Organization|rachel billissuer||BILL2021001|200000000000010001||Aggregator Agency - Head Office,Top Aggregator Deposit Product HILTON2,Organization Pay Bill Product rachel,Organization Pay Bill Product zhang,Organization Pay Bill Product HILTON||Top Organization Level 3||||||||30072
201000000000011001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Top Organization Default Charge Profile|20210709025907||Active|Organization|org0502||0502|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000011009|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709090649||Active|Organization|KwatelMNO2||0507|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000011016|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210712125816||Active|Organization|RachelAgent||10001|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||city for training||||||30072
201000000000014002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20210719160033||Active|Organization|AggreChild1||0000011|201000000000014001|Aggregator1|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000015042|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210810005021||Active|Organization|PlacidaOrganization2||3214|201000000000015029||Centrally Owned Agency - Child||Child Organization Level 3||Luanda|||Luanda|||30073
201000000000018001|Organization E-Money Account~AOA~New|Top Organization Default Charge Profile|20210817075000||New|Organization|20210808||20210808|200000000000010001||||Top Organization Level 3||||||||30072
201000000000020010|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210902152708||Active|Organization|ChildOrg||0102|201000000000020002|TopOrgAndrea|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000020015|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210903150346||Active|Organization|Heloisa||2020|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000022001|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210913174250||Active|Organization|OrgtopPaulotest||2828|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000024008|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20211011175145||Active|Organization|TOPA114||TC2021114|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000025001|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile 2|20211103144614||Active|Organization|AND FERR||TAF2021001|200000000000010001||TEST CORPORATE 2||Top Organization Level 3||||||||30072
700100000000000004|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210618175532||Active|Organization|orgTop1000004||61000004|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000010003|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210707092443||Active|Organization|20210617004||20210617004|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000011004|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210709084654||Active|Organization|shivachildorg||112234|201000000000011003|shivaTestTopOrg|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000011013|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210712073908||Active|Organization|ora05011||05011|201000000000010006|org0501|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000013001|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210715105505||Active|Organization|org0601||0601|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000015016|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Working Account~AOA~Active|Top Organization Default Charge Profile 2|20210803155912||Active|Organization|OrgAndrea|||200000000000010001||Aggregator Agency - Head Office,ATM Provider Product,Centrally Owned Agency - Head Office,Merchant Product,MNO Product,Utility Product||Top Organization Level 3||||||||30072
201000000000016005|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210812135908||Active|Organization|OrgchildPaulo||2825|201000000000016004|OrgPaulo|||Child Organization Level 3|||||Luanda|||30073
201000000000019005|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active||20210830154945||Active|Organization|Teste_Ricardo||3443|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3|Owner~~~~~~|Condominio Palmeiras Talatona|||Luanda|||30072
201000000000020003|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902143112||Active|Organization|HiltonOrg||0001|200000000000010001||Centrally Owned Agency - Head Office,Merchant Product||Top Organization Level 3||Viana|||Luanda|||30072
201000000000020008|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902150507||Active|Organization|RicardoUATTB||2727|200000000000010001||Centrally Owned Agency - Head Office,Merchant Product||Top Organization Level 3|Owner~~~~~~||||Luanda|||30072
201000000000024003|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211011170456||Active|Organization|CHILD112||0001121|201000000000021002|000112|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000024009|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211011175232||Active|Organization|CHILD114C||CTC2021114|201000000000024008|TOPA114|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000010004|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210707092443||Active|Organization|20210617003||20210617003|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000011006|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20210709085004||Active|Organization|shivachildorg2||112235|201000000000011003|shivaTestTopOrg|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000011015|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210712114620||Active|Organization|shivaInternalvalidation||123457|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000013007|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210719070510||Active|Organization|orgrachel1||2000|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||test||||||30072
201000000000015038|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210809105610||Active|Organization|ChildAndrea||21091|201000000000015016|OrgAndrea|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000017002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210812210423||Active|Organization|OrgCleide||212021|200000000000010001||||Top Organization Level 3||||||||30072
201000000000020009|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210902150852||Active|Organization|RicardoUATTBFilial||272700|201000000000020008|RicardoUATTB|Centrally Owned Agency - Child||Child Organization Level 3|||||Lobito|||30073
201000000000020014|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210903145240||Active|Organization|OrgCodeGirl||1811|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3|||||Luanda|||30072
201000000000021004|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210910194540||Active|Organization|ChildOrgPaulo||2827|201000000000021003|OrgtopPaulo|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000024006|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20211011173513||Active|Organization|TTOP113||TC2021113|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000024043|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Top Organization Default Charge Profile|20211028110322||Active|Organization|IB||TIB2021000|200000000000010001||TEST CORPORATE||Top Organization Level 3||||||||30072
700100000000000002|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210618175532||Active|Organization|orgTop1000002||61000002|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
